workload_id,functional_id,shots_attempted,direct_postselection_shots_attempted,seed,backend,source_circuit_hash,postselection_accepted_shots,postselection_rejected_shots,interference_branch_accepted_shots,interference_branch_rejected_shots,plus_accepted_shots,minus_accepted_shots,count_00,count_01,count_10,count_11,estimated_postselection_probability,interference_acceptance_probability,inferred_postselection_probability_from_branch,signed_contrast,recovered_selected_output,statevector_reference,quantized_ridge_reference,absolute_error_vs_statevector,absolute_error_vs_quantized_ridge,relative_error_vs_statevector,relative_error_numerically_stable,analytic_variance_estimate,analytic_standard_error,statevector_expected_variance,statevector_expected_standard_error,confidence_interval_lower,confidence_interval_upper,same_final_circuit_as_statevector_and_resources,output_state_used_for_preparation
ieee14_sparse_quantized_8x8_d31_selected_v1,coordinate_e0,10000,10000,0,qiskit_aer_statevector_actual_shot_sampling,fc78f4b794ab8417ec26e188662b5e4b7d06932ab5d8ce55e515bcd64aa6eabb,6096,3904,8051,1949,5049,3002,5049,971,3002,978,0.6096,0.8051,0.6102000000000001,0.2047,0.0024911656154407,0.0024712114358258,0.0024717150238716,1.995417961484511e-05,1.945059156901324e-05,0.008074654934646,True,1.1303337335089176e-08,0.0001063171544723,1.1304665230279588e-08,0.0001063233992603,0.0022827878217361,0.0026995434091452,True,False
ieee14_sparse_quantized_8x8_d31_selected_v1,signed_difference_e0_minus_e1,10000,10000,0,qiskit_aer_statevector_actual_shot_sampling,a23264a47334f11980540c17e471cf2559f3df49ec0fb4b3b868b0ada1d9de68,6096,3904,8054,1946,6111,1943,6111,968,1943,978,0.6096,0.8054,0.6108,0.4168,0.005072388024014,0.0050829008415901,0.0050827958674965,1.0512817576058785e-05,1.0407843482466636e-05,0.0020682712300895,True,9.355459068740771e-09,9.672362208240949e-05,9.331765729805351e-09,9.66010648481959e-05,0.0048828132082783,0.0052619628397498,True,False
ieee14_sparse_quantized_8x8_d31_selected_v1,aggregate_e0_to_e3,10000,10000,0,qiskit_aer_statevector_actual_shot_sampling,87bb5d62e8844b359f5ad6f54fee8947915746c4e034ea358673ce1d6e1300df,6096,3904,8062,1938,4171,3891,4171,960,3891,978,0.6096,0.8062,0.6124,0.028,0.000340755433475,0.0002747297976402,0.0002749801396336,6.602563583481334e-05,6.577529384137865e-05,,False,1.1928608063245592e-08,0.0001092181672765,1.19078061801627e-08,0.0001091228948487,0.0001266917591555,0.0005548191077945,True,False
ieee14_sparse_quantized_8x8_d31_selected_v1,coordinate_e0,10000,10000,1,qiskit_aer_statevector_actual_shot_sampling,fc78f4b794ab8417ec26e188662b5e4b7d06932ab5d8ce55e515bcd64aa6eabb,6135,3865,8020,1980,5042,2978,5042,1009,2978,971,0.6135,0.802,0.6040000000000001,0.2064,0.0025118543381874,0.0024712114358258,0.0024717150238716,4.064290236154358e-05,4.013931431571171e-05,0.0164465499682996,True,1.1247074197389872e-08,0.0001060522239153,1.1304665230279588e-08,0.0001063233992603,0.0023039957988329,0.0027197128775418,True,False
ieee14_sparse_quantized_8x8_d31_selected_v1,signed_difference_e0_minus_e1,10000,10000,1,qiskit_aer_statevector_actual_shot_sampling,a23264a47334f11980540c17e471cf2559f3df49ec0fb4b3b868b0ada1d9de68,6135,3865,8050,1950,6147,1903,6147,979,1903,971,0.6135,0.805,0.6100000000000001,0.4244,0.0051648787845287,0.0050829008415901,0.0050827958674965,8.19779429385931e-05,8.208291703218525e-05,0.0161281806380757,True,9.254849612252946e-09,9.62021289382566e-05,9.331765729805351e-09,9.66010648481959e-05,0.0049763260765736,0.0053534314924838,True,False
ieee14_sparse_quantized_8x8_d31_selected_v1,aggregate_e0_to_e3,10000,10000,1,qiskit_aer_statevector_actual_shot_sampling,87bb5d62e8844b359f5ad6f54fee8947915746c4e034ea358673ce1d6e1300df,6135,3865,7964,2036,4061,3903,4061,1065,3903,971,0.6135,0.7964,0.5928,0.0158,0.0001922834231751,0.0002747297976402,0.0002749801396336,8.244637446502351e-05,8.26967164584582e-05,,False,1.1791379366503622e-08,0.0001085881179803,1.19078061801627e-08,0.0001091228948487,-2.054537721517629e-05,0.0004051122235655,True,False
ieee14_sparse_quantized_8x8_d31_selected_v1,coordinate_e0,10000,10000,2,qiskit_aer_statevector_actual_shot_sampling,fc78f4b794ab8417ec26e188662b5e4b7d06932ab5d8ce55e515bcd64aa6eabb,6121,3879,8113,1887,5116,2997,5116,927,2997,960,0.6121,0.8113,0.6226,0.2119,0.0025787884411914,0.0024712114358258,0.0024717150238716,0.0001075770053655,0.0001070734173197,0.043532092724238,True,1.1350738021857575e-08,0.0001065398424152,1.1304665230279588e-08,0.0001063233992603,0.002369974187139,0.0027876026952438,True,False
ieee14_sparse_quantized_8x8_d31_selected_v1,signed_difference_e0_minus_e1,10000,10000,2,qiskit_aer_statevector_actual_shot_sampling,a23264a47334f11980540c17e471cf2559f3df49ec0fb4b3b868b0ada1d9de68,6121,3879,8066,1934,6138,1928,6138,974,1928,960,0.6121,0.8066,0.6132,0.421,0.0051235013390353,0.0050829008415901,0.0050827958674965,4.060049744519616e-05,4.0705471538788306e-05,0.0079876626970544,True,9.321117089896628e-09,9.654593253937025e-05,9.331765729805351e-09,9.66010648481959e-05,0.0049342747884043,0.0053127278896663,True,False
ieee14_sparse_quantized_8x8_d31_selected_v1,aggregate_e0_to_e3,10000,10000,2,qiskit_aer_statevector_actual_shot_sampling,87bb5d62e8844b359f5ad6f54fee8947915746c4e034ea358673ce1d6e1300df,6121,3879,8043,1957,4190,3853,4190,997,3853,960,0.6121,0.8043,0.6086,0.0337,0.000410123503861,0.0002747297976402,0.0002749801396336,0.0001353937062208,0.0001351433642273,,False,1.1895259424169726e-08,0.0001090653905882,1.19078061801627e-08,0.0001091228948487,0.0001963592663482,0.0006238877413738,True,False
ieee14_sparse_quantized_8x8_d31_selected_v1,coordinate_e0,10000,10000,3,qiskit_aer_statevector_actual_shot_sampling,fc78f4b794ab8417ec26e188662b5e4b7d06932ab5d8ce55e515bcd64aa6eabb,6113,3887,8049,1951,5058,2991,5058,984,2991,967,0.6113,0.8049,0.6097999999999999,0.2067,0.0025155052892603,0.0024712114358258,0.0024717150238716,4.429385343449055e-05,4.379026538865868e-05,0.0179239432095327,True,1.1288189162806671e-08,0.0001062458900984,1.1304665230279588e-08,0.0001063233992603,0.002307267171162,0.0027237434073586,True,False
