row,column,classical_spectral_filter,hardware_qsvt_block_value,abs_error_to_classical_filter,max_error_vs_classical
0,0,0.6684719422527717,0.6684718252537933,1.1699897839445583e-07,1.1699897839445583e-07
0,1,-0.05140205493449941,-0.051402146912914455,9.197841504410276e-08,9.197841504410276e-08
0,2,0.1248927205926581,0.12489270803637725,1.2556280848396995e-08,1.2556280848396995e-08
0,3,-0.0014898963433846446,-0.0014899295728797583,3.3229495113645466e-08,3.3229495113645466e-08
1,0,-0.20358625632423102,-0.2035862205484091,3.577582191605089e-08,3.577582191605089e-08
1,1,0.06799231519932364,0.06799232582021468,1.0620891041646097e-08,1.0620891041646097e-08
1,2,0.6269398947895083,0.6269397913469248,1.0344258349892499e-07,1.0344258349892499e-07
1,3,-0.027153125957999836,-0.027153223842754984,9.788475514860284e-08,9.788475514860284e-08
2,0,0.2439241537011815,0.24392420932047146,5.5619289951458484e-08,5.5619289951458484e-08
2,1,-0.624672032263877,-0.6246719009182059,1.3134567111716677e-07,1.3134567111716677e-07
2,2,0.0330328848789907,0.033032913283478835,2.8404488136568595e-08,2.8404488136568595e-08
2,3,-0.16349686059437926,-0.16349683348061797,2.7113761291719385e-08,2.7113761291719385e-08
3,0,-0.1436418135553199,-0.14364180863904125,4.916278661948326e-09,4.916278661948326e-09
3,1,0.22145739450808902,0.22145734995089753,4.4557191491989556e-08,4.4557191491989556e-08
3,2,0.22489486243929302,0.22489492394385666,6.150456363651635e-08,6.150456363651635e-08
3,3,-0.5858660299613881,-0.5858659109175285,1.1904385965877395e-07,1.1904385965877395e-07
