instance_id,ieee_case,residual_seed,split,residual_fingerprint,residual_norm,residual_file,generation_source,generation_status,failure_reason,structural_group_id,structural_group_selection_order,realization_order,matrix_selection_seed,candidate_id,candidate_policy
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,14502000,held_out,89423a221236ff13e99e602e213a2909065013e7316aa1bbcf0350ea76e587da,6.241690412429534,residual_banks/ieee14_structural_group_01_realization_01_seed_14201_8x8/held_out_seed_14502000.npy,ieee14_pypower_ac_weighted_jacobian,completed,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,14502001,held_out,e2e6039865ccac2e6f8b16c3436969b68b82e0752c7369aa85eb5f96603a965b,4.808274500031297,residual_banks/ieee14_structural_group_01_realization_01_seed_14201_8x8/held_out_seed_14502001.npy,ieee14_pypower_ac_weighted_jacobian,completed,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,14502002,held_out,9ca14880b14c9eef4c46e13ca9f7b50dd3e4f652f09625c2c05982a71bf066d9,4.112856754391056,residual_banks/ieee14_structural_group_01_realization_01_seed_14201_8x8/held_out_seed_14502002.npy,ieee14_pypower_ac_weighted_jacobian,completed,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,14502003,held_out,9b4936f0ba2973a4c11d10ed915aa3d525f621aced1097db5729d6f42912bfbf,7.420024864614739,residual_banks/ieee14_structural_group_01_realization_01_seed_14201_8x8/held_out_seed_14502003.npy,ieee14_pypower_ac_weighted_jacobian,completed,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,14502004,held_out,b621b75fee6b135ea8e1966fe4cb464010eff2cde68907d70cb8c468dc3a82a0,5.006742151910515,residual_banks/ieee14_structural_group_01_realization_01_seed_14201_8x8/held_out_seed_14502004.npy,ieee14_pypower_ac_weighted_jacobian,completed,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,14502005,held_out,941f340b7c2928d105428aab8d8b048606367363b744b3092502b41112120def,9.358785860910473,residual_banks/ieee14_structural_group_01_realization_01_seed_14201_8x8/held_out_seed_14502005.npy,ieee14_pypower_ac_weighted_jacobian,completed,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,14502006,held_out,e0684d0418463a5c1962b4e26a60b33f0d35db1f4009b481df17f3983b9d4c4b,9.02387602678971,residual_banks/ieee14_structural_group_01_realization_01_seed_14201_8x8/held_out_seed_14502006.npy,ieee14_pypower_ac_weighted_jacobian,completed,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,14502007,held_out,6dd14669f06c351dd191f450b8c5648fd73d356f3a3633e5df61be3f4952d450,7.788863553939815,residual_banks/ieee14_structural_group_01_realization_01_seed_14201_8x8/held_out_seed_14502007.npy,ieee14_pypower_ac_weighted_jacobian,completed,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,14502008,held_out,f8d66f570b09ad22245ad2fe648152a972408d7f4c08b6e579d082077d653636,3.473818349743808,residual_banks/ieee14_structural_group_01_realization_01_seed_14201_8x8/held_out_seed_14502008.npy,ieee14_pypower_ac_weighted_jacobian,completed,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,14502009,held_out,e5fdf79b9dc0f83fe073cc657aa694878561a887c120c8a6eca2dc2706f4efb0,4.124947529342303,residual_banks/ieee14_structural_group_01_realization_01_seed_14201_8x8/held_out_seed_14502009.npy,ieee14_pypower_ac_weighted_jacobian,completed,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,14502010,held_out,6bbf19b96a62e6c1f1da409b0063ae44941af72cfbf8e7254262ffb75e45043c,7.544342018805252,residual_banks/ieee14_structural_group_01_realization_01_seed_14201_8x8/held_out_seed_14502010.npy,ieee14_pypower_ac_weighted_jacobian,completed,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
