observable_label,shots,seed,backend,status,total_attempts,accepted_attempts,effective_shots_after_postselection,acceptance_frequency,measured_postselection_probability,measured_postselection_probability_standard_error,direct_chain_measured_postselection_probability,readout_sign_mean_accepted,signed_overlap_estimate_z,signed_overlap_standard_error,physical_recovery_scale,recovered_physical_functional,recovered_physical_functional_standard_error,exact_ridge_functional,exact_qsvt_statevector_functional,absolute_error_vs_ridge,relative_error_vs_ridge,absolute_error_vs_statevector_qsvt,relative_error_vs_statevector_qsvt,circuit_qubits,signal_unitary_calls_per_attempt,projector_phase_operations_per_attempt,alternating_sequence_length,output_state_used_for_preparation
state_correction_0,1000,0,aer_integrated_circuit_shot_sampling,executed_integrated_chain,1000.0,995.0,995.0,0.995,0.99,0.004460941604639094,0.988,-0.3165829145728643,-0.315,0.02992950049700128,0.01737089797026707,-0.005471832860634128,0.0005199022994344668,-0.004259018143057706,-0.004257089574489113,0.0012128147175764215,0.2847639237116978,0.0012147432861450147,0.2853459540584824,4,31,32,63,False
state_correction_0,1000,1,aer_integrated_circuit_shot_sampling,executed_integrated_chain,1000.0,994.0,994.0,0.994,0.988,0.004884260435316694,0.987,-0.31388329979879276,-0.312,0.029944214800191372,0.01737089797026707,-0.005419720166723326,0.0005201579000938855,-0.004259018143057706,-0.004257089574489113,0.0011607020236656202,0.27252807681920543,0.0011626305922342135,0.2731045640198302,4,31,32,63,False
state_correction_0,1000,2,aer_integrated_circuit_shot_sampling,executed_integrated_chain,1000.0,986.0,986.0,0.986,0.972,0.007430746934191747,0.988,-0.25760649087221094,-0.254,0.030355954934740564,0.01737089797026707,-0.004412208084447836,0.0005273101959614036,-0.004259018143057706,-0.004257089574489113,0.00015318994139012967,0.03596837023101972,0.00015511850995872292,0.03643768993922061,4,31,32,63,False
state_correction_0,1000,3,aer_integrated_circuit_shot_sampling,executed_integrated_chain,1000.0,992.0,992.0,0.992,0.984,0.005634181395730885,0.992,-0.2661290322580645,-0.264,0.0303694583422227,0.01737089797026707,-0.004585917064150507,0.0005275447622750266,-0.004259018143057706,-0.004257089574489113,0.00032689892109280094,0.07675452653932771,0.0003288274896613942,0.0772423234013948,4,31,32,63,False
state_correction_0,1000,4,aer_integrated_circuit_shot_sampling,executed_integrated_chain,1000.0,993.0,993.0,0.993,0.986,0.005272949838562854,0.992,-0.26686807653575023,-0.265,0.03037721185362475,0.01737089797026707,-0.004603287962120774,0.0005276794477305029,-0.004259018143057706,-0.004257089574489113,0.0003442698190630677,0.08083314217015843,0.00034619838763166096,0.08132278674761212,4,31,32,63,False
state_correction_0,1000,5,aer_integrated_circuit_shot_sampling,executed_integrated_chain,1000.0,996.0,996.0,0.996,0.992,0.003991991983959889,0.989,-0.26907630522088355,-0.268,0.03040026315675573,0.01737089797026707,-0.004655400656031575,0.000528079869565273,-0.004259018143057706,-0.004257089574489113,0.0003963825129738689,0.09306898906265079,0.00039831108154246217,0.09356417678626433,4,31,32,63,False
state_correction_0,1000,6,aer_integrated_circuit_shot_sampling,executed_integrated_chain,1000.0,990.0,990.0,0.99,0.98,0.006292853089020912,0.992,-0.2222222222222222,-0.22,0.030685501462417067,0.01737089797026707,-0.0038215975534587557,0.0005330347150701278,-0.004259018143057706,-0.004257089574489113,0.0004374205895989504,0.10270456121722694,0.00043549202103035714,0.10229806383217105,4,31,32,63,False
state_correction_0,1000,7,aer_integrated_circuit_shot_sampling,executed_integrated_chain,1000.0,991.0,991.0,0.991,0.982,0.005972938975077515,0.985,-0.20686175580222,-0.205,0.03080543783165563,0.01737089797026707,-0.0035610340839047493,0.0005351181175030953,-0.004259018143057706,-0.004257089574489113,0.0006979840591529569,0.16388379567968883,0.0006960554905843636,0.16350501402543222,4,31,32,63,False
state_correction_0,1000,8,aer_integrated_circuit_shot_sampling,executed_integrated_chain,1000.0,993.0,993.0,0.993,0.986,0.005272949838562854,0.993,-0.19838872104733132,-0.197,0.030889982194879945,0.01737089797026707,-0.0034220669001426133,0.000536586729010626,-0.004259018143057706,-0.004257089574489113,0.0008369512429150928,0.196512720726335,0.0008350226743464996,0.1961487207951713,4,31,32,63,False
state_correction_0,1000,9,aer_integrated_circuit_shot_sampling,executed_integrated_chain,1000.0,993.0,993.0,0.993,0.986,0.005272949838562854,0.989,-0.21852970795568982,-0.217,0.030755666144630975,0.01737089797026707,-0.0037694848595479545,0.0005342535386059819,-0.004259018143057706,-0.004257089574489113,0.0004895332835097516,0.1149404081097193,0.00048760471494115835,0.11453945387082326,4,31,32,63,False
